"","mean","sd","2.5%","97.5%","n_eff","Rhat4"
"h_Intercept[11]",-0.0342580109269,0.0448234543698166,-0.121824025,0.051858145,1928.27570987601,0.999380060432381
"h_Intercept[12]",-0.04409032494035,0.0478266916184865,-0.141028525,0.0458137599999999,2116.63740703136,0.999156601100087
"h_Intercept[13]",0.014741916206485,0.0479966273349546,-0.07953316,0.109430675,1888.94108684594,0.998948325311613
"h_Intercept[14]",0.134403102385,0.053722561255509,0.0323349725,0.238083275,1473.34682112727,0.999588039586356
"h_Intercept[15]",0.04057605651385,0.048212131929026,-0.049862955,0.137862075,1732.90320878473,0.999108818662062
"h_Intercept[16]",0.0024973501497,0.0521533479805083,-0.096405845,0.10352705,2309.90268731922,0.999695773630357
"h_Intercept[17]",-0.1069876894425,0.0475942424400742,-0.200303875,-0.0137356625000001,1759.53636167968,0.99996569229583
"h_Intercept[18]",-0.05176522420071,0.0472647983087124,-0.144839225,0.0391908275,1761.77553578707,0.999248641776565
"h_Intercept[19]",-0.0597221519127,0.0485484962925666,-0.159278875,0.0325563725,1832.18321483409,1.00028125896724
"h_Intercept[20]",-0.0100574138665,0.0518066823341823,-0.112438025,0.0854482824999999,1945.43003956332,1.00003699767229
"h_Intercept[21]",0.0384290717861,0.0487452665794078,-0.06241699,0.1333413,1935.96422268832,1.00100605633363
"h_Intercept[22]",-0.0371329899682,0.0493096961104065,-0.13497155,0.0576502374999999,2035.58072237248,0.99956731165701
"h_Intercept[23]",0.031976382721,0.0486087734743944,-0.0599809049999999,0.13245675,2602.26306290135,0.999887043344658
"h_Intercept[24]",-0.0700112827825,0.0504404742087449,-0.17403565,0.0243987199999999,1863.84763731106,1.001923552415
"h_Intercept[25]",-0.0203155914826,0.0467184558514684,-0.11266295,0.0745323275,2326.4568217752,0.998892056053773
"h_Intercept[26]",0.06257957425505,0.048913461402973,-0.0337463225,0.1634557,2796.4914917991,0.999394324911271
"h_Intercept[27]",-0.02840170866685,0.0491394762088314,-0.1284962,0.0646027424999999,2192.75388859878,1.00078663002829
"h_Intercept[28]",0.0005877717416,0.0483554659088183,-0.0944561425,0.094145285,2730.05543042308,0.998581317119034
"h_Intercept[29]",-0.02366490419305,0.0464207153651548,-0.1161255,0.0659270775,2705.81213387952,0.998906335002014
"h_Intercept[30]",0.0123196670299,0.0476791502176939,-0.08395766,0.10590935,2542.3524087783,0.999418745234281
"h_Intercept[31]",0.04529889757005,0.0492703037522444,-0.048515245,0.1461279,1916.0401588402,0.999134967104143
"h_Intercept[32]",0.047739723419675,0.0494626080098755,-0.0491282875,0.14537235,1961.98171973915,1.00034410480137
"h_Intercept[33]",0.08436183408,0.0493031993952942,-0.012257475,0.18228055,1801.63949465187,1.00013338231922
"h_Intercept[34]",0.04733118918505,0.0466584383844421,-0.0447646775,0.138360225,2756.41899208961,0.999377535194241
